B000154,B000212,B000228,B000345,B000398,B000413,B000664,B000763,B001117,C000282,C000291,C000325,C000553,D000308,D000511,E000024,E000136,F000246,H000279,H000398,H000494,H000739,I000028,J000170,J000194,K000006,K000217,K000287,M000034,M000137,M000519,M000535,N000118,P000079,P000539,R000245,R000297,R000471,R000500,S000052,S000268,S000411,S000609,S000628,T000108,T000171,T000450,V000009,W000238,W000376,W000482,W000540,W000711,date,isAmendment,requires,result,title
Yea,Not Voting,,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Nay,,Nay,Yea,Yea,Not Voting,Nay,,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Not Voting,Nay,,Nay,Yea,Nay,Nay,,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Not Voting,,Nay,Yea,Nay,Yea,Yea,1829-02-23,0,,unknown,
Yea,Nay,,Yea,Nay,Not Voting,Yea,Not Voting,Yea,Yea,Nay,Yea,,Not Voting,Nay,Not Voting,Not Voting,Nay,,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Not Voting,Yea,,Yea,Yea,Yea,Yea,,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Not Voting,Nay,Nay,Yea,Not Voting,,Not Voting,Nay,Nay,Nay,Nay,1829-02-24,0,,unknown,
Nay,Nay,,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,,Not Voting,Nay,Not Voting,Not Voting,Nay,,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Not Voting,Nay,,Nay,Nay,Nay,Nay,,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Not Voting,,Nay,Not Voting,Nay,Yea,Yea,1829-02-24,0,,unknown,
Nay,Nay,,Not Voting,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Nay,,Not Voting,Nay,Nay,Not Voting,Yea,,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Not Voting,Nay,,Nay,Nay,Nay,Nay,,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Not Voting,,Nay,Yea,Not Voting,Yea,Yea,1829-02-24,0,,unknown,
Yea,Yea,,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,,Not Voting,Yea,Yea,Not Voting,Nay,,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Not Voting,Nay,,Yea,Yea,Yea,Yea,,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Not Voting,,Yea,Nay,Yea,Nay,Nay,1829-02-24,0,,unknown,
Nay,Nay,,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Nay,,Yea,Nay,Not Voting,Not Voting,Yea,,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Not Voting,Nay,,Nay,Nay,Yea,Nay,,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Not Voting,Yea,Yea,Nay,Not Voting,,Nay,Yea,Nay,Yea,Yea,1829-02-25,0,,unknown,
Yea,Nay,,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,,Nay,Yea,Not Voting,Not Voting,Yea,,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Not Voting,Nay,,Nay,Yea,Yea,Nay,,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Not Voting,,Yea,Yea,Yea,Yea,Yea,1829-02-25,0,,unknown,
Nay,Nay,,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,,Yea,Yea,Yea,Not Voting,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,,Nay,Yea,Yea,Yea,,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Not Voting,Not Voting,Not Voting,,Nay,Yea,Nay,Yea,Nay,1829-02-26,0,,unknown,
Not Voting,Yea,,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Yea,,Nay,Nay,Nay,Not Voting,Yea,,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Yea,,Yea,Yea,Nay,Not Voting,,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Not Voting,,Yea,Nay,Yea,Nay,Nay,1829-02-26,0,,unknown,
Yea,Yea,,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,,Nay,Nay,Yea,Not Voting,Yea,,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Yea,,Yea,Yea,Nay,Not Voting,,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Not Voting,Not Voting,,Yea,Nay,Yea,Nay,Nay,1829-02-26,0,,unknown,
Nay,Yea,,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,,Nay,Nay,Nay,Not Voting,Yea,,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Yea,,Yea,Yea,Nay,Nay,,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Not Voting,Not Voting,,Yea,Nay,Yea,Nay,Nay,1829-02-26,0,,unknown,
Yea,Yea,,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Yea,,Nay,Yea,Nay,Not Voting,Nay,,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,,Yea,Not Voting,Not Voting,Nay,,Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Nay,Nay,Yea,Nay,,Yea,Nay,Yea,Nay,Nay,1829-02-27,0,,unknown,
Yea,Yea,,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Not Voting,,Not Voting,Yea,Yea,Not Voting,Nay,,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Not Voting,Not Voting,,Yea,Yea,Not Voting,Yea,,Yea,Not Voting,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Yea,,Nay,Yea,Nay,Nay,Yea,1829-02-27,0,,unknown,
Yea,Nay,,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Nay,,Yea,Yea,Yea,Not Voting,Nay,,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Nay,,Nay,Yea,Not Voting,Nay,,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Yea,,Nay,Yea,Nay,Yea,Yea,1829-02-28,0,,unknown,
Yea,Nay,,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Nay,,Yea,Yea,Yea,Not Voting,Nay,,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Nay,,Nay,Yea,Not Voting,Nay,,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Yea,,Nay,Yea,Nay,Yea,Yea,1829-02-28,0,,unknown,
Nay,Yea,,Yea,Nay,Nay,Not Voting,Nay,Yea,Yea,Nay,Yea,,Nay,Nay,Nay,Not Voting,Yea,,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Yea,,Yea,Yea,Not Voting,Yea,,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Nay,,Yea,Nay,Yea,Nay,Nay,1829-02-28,0,,unknown,
Nay,Nay,,Nay,Nay,Yea,Not Voting,Yea,Nay,Nay,Yea,Nay,,Nay,Nay,Yea,Not Voting,Nay,,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Not Voting,Nay,,Nay,Yea,Not Voting,Yea,,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Yea,,Nay,Yea,Nay,Yea,Nay,1829-03-02,0,,unknown,
Nay,Nay,,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,,Nay,Nay,Yea,Not Voting,Nay,,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Not Voting,Nay,,Nay,Yea,Not Voting,Yea,,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Not Voting,Yea,,Nay,Yea,Nay,Yea,Nay,1829-03-02,0,,unknown,
Nay,Nay,,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Nay,,Yea,Nay,Yea,Not Voting,Nay,,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Not Voting,Nay,,Nay,Nay,Not Voting,Yea,,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Not Voting,Yea,,Not Voting,Yea,Nay,Yea,Nay,1829-03-02,0,,unknown,
Nay,Nay,,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Nay,,Yea,Nay,Yea,Not Voting,Nay,,Yea,Nay,Yea,Yea,Nay,Nay,Not Voting,Not Voting,Nay,,Nay,Nay,Not Voting,Yea,,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Not Voting,Yea,,Nay,Yea,Nay,Yea,Nay,1829-03-02,0,,unknown,
Nay,Nay,,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,,Nay,Nay,Yea,Not Voting,Nay,,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Not Voting,Nay,,Nay,Yea,Not Voting,Yea,,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Not Voting,Yea,,Nay,Yea,Nay,Yea,Nay,1829-03-02,0,,unknown,
Yea,Yea,,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Yea,,Nay,Yea,Nay,Not Voting,Yea,,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Not Voting,Yea,,Yea,Nay,Not Voting,Nay,,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Not Voting,Nay,,Yea,Nay,Yea,Nay,Yea,1829-03-02,0,,unknown,
Not Voting,Yea,,Nay,Yea,Yea,Not Voting,Nay,Nay,Nay,Nay,Nay,,Yea,Yea,Yea,Not Voting,Nay,,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,,Nay,Yea,Not Voting,Not Voting,,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Not Voting,Yea,,Nay,Yea,Nay,Yea,Yea,1829-03-02,0,,unknown,
Yea,Nay,,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,,Yea,Yea,Yea,Not Voting,Yea,,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,,Yea,Yea,Not Voting,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,,Yea,Yea,Nay,Yea,Yea,1829-03-02,0,,unknown,
Nay,Nay,,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Nay,,Yea,Yea,Nay,Not Voting,Nay,,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Not Voting,Not Voting,,Nay,Yea,Not Voting,Nay,,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Not Voting,Yea,,Nay,Yea,Not Voting,Yea,Yea,1829-03-02,0,,unknown,
Yea,Yea,,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,,Nay,Yea,Yea,Not Voting,Not Voting,,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Not Voting,Not Voting,,Yea,Not Voting,Not Voting,Yea,,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Not Voting,Nay,,Yea,Nay,Yea,Yea,Not Voting,1829-03-02,0,,unknown,
Yea,Nay,,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Yea,,Nay,Yea,Nay,Not Voting,Nay,,Nay,Yea,Nay,Not Voting,Yea,Yea,Nay,Not Voting,Not Voting,,Yea,Yea,Not Voting,Yea,,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Not Voting,Nay,,Yea,Nay,Nay,Nay,Nay,1829-03-02,0,,unknown,
Yea,Nay,,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,,Yea,Yea,Nay,Not Voting,Not Voting,,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Not Voting,Not Voting,,Nay,Not Voting,Not Voting,Not Voting,,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Not Voting,Nay,,Yea,Nay,Yea,Nay,Yea,1829-03-02,0,,unknown,
Nay,Nay,,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Yea,,Nay,Nay,Nay,Not Voting,Nay,,Nay,Yea,Yea,Nay,Nay,Not Voting,Nay,Not Voting,Not Voting,,Yea,Not Voting,Not Voting,Nay,,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Not Voting,Nay,,Yea,Nay,Nay,Nay,Yea,1829-03-02,0,,unknown,
Nay,Nay,,Not Voting,Yea,Yea,Not Voting,Yea,Nay,Nay,Yea,Nay,,Yea,Nay,Nay,Not Voting,Yea,,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Not Voting,Not Voting,,Nay,Nay,Not Voting,Nay,,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Not Voting,Yea,,Nay,Yea,Nay,Nay,Yea,1829-03-02,0,,unknown,
Yea,Nay,,Not Voting,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,,Yea,Yea,Yea,Not Voting,Nay,,Yea,Yea,,Not Voting,Not Voting,Not Voting,Yea,Yea,Nay,,Nay,Yea,Not Voting,Not Voting,,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Not Voting,Yea,Yea,Yea,Not Voting,Yea,,Not Voting,Yea,Nay,Yea,Yea,1829-03-03,0,,unknown,
Nay,Yea,,Not Voting,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,,Yea,Nay,Yea,Not Voting,Yea,,Yea,Yea,,Yea,Yea,Not Voting,Yea,Yea,Yea,,Yea,Yea,Not Voting,Yea,,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,,Not Voting,Yea,Yea,Yea,Yea,1829-03-03,0,,unknown,
Nay,Yea,,Not Voting,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Yea,,Nay,Nay,Nay,Not Voting,Yea,,Nay,Yea,,Nay,Nay,Yea,Nay,Nay,Yea,,Yea,Nay,Not Voting,Yea,,Nay,Nay,Yea,Nay,Not Voting,Yea,Yea,Yea,Nay,Nay,Nay,Not Voting,Nay,,Yea,Nay,Yea,Nay,Nay,1829-03-03,0,,unknown,
Yea,Nay,,Not Voting,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Nay,,Yea,Yea,Yea,Not Voting,Nay,,Yea,Nay,,Yea,Yea,Nay,Yea,Yea,Nay,,Nay,Yea,Not Voting,Not Voting,,Yea,Yea,Nay,Yea,Not Voting,Yea,Nay,Nay,Yea,Yea,Yea,Not Voting,Yea,,Nay,Yea,Nay,Yea,Yea,1829-03-03,0,,unknown,
