A000174,A000280,B000049,B000084,B000282,B000396,B000569,B000661,B000669,B000671,C000012,C000163,C000382,C000406,C000418,C000545,C000591,C000600,C000624,D000157,D000165,D000178,D000254,D000296,D000578,E000060,F000124,F000178,F000282,F000301,G000173,G000183,G000196,G000211,G000215,G000235,G000286,G000311,G000434,G000442,G000466,G000502,H000148,H000225,H000266,H000299,H000431,H000570,H000618,H000629,H000750,H000982,I000035,K000246,K000253,L000115,L000178,L000200,L000389,L000530,M000034,M000043,M000076,M000424,M000622,M000645,M000873,M000891,M001063,M001066,M001119,N000055,N000058,N000084,N000109,O000101,P000018,P000065,P000108,P000320,P000514,R000548,S000186,S000222,S000339,S000508,S000557,S000563,S000609,S000633,S000753,S001119,T000019,T000141,T000348,T000361,T000389,V000012,V000022,V000039,V000083,W000013,W000014,W000051,W000127,W000211,W000491,W000633,W000637,W000642,date,isAmendment,requires,result,title,billTitle,committee,officialTitle,sponsor
Nay,Nay,Yea,Yea,Yea,Not Voting,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Not Voting,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Nay,,,Yea,Nay,Nay,Nay,Nay,Yea,Not Voting,Not Voting,Nay,Nay,Nay,Not Voting,Yea,Yea,Nay,Yea,Not Voting,,Yea,Nay,Yea,Yea,Nay,Not Voting,Nay,Not Voting,Yea,,Nay,,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Nay,Not Voting,Yea,Yea,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Not Voting,1794-01-02,0,,unknown,,,,,unknown
Nay,Yea,Yea,Yea,Nay,Not Voting,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Not Voting,Yea,Yea,Yea,,,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Yea,Not Voting,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Nay,Not Voting,Nay,Yea,Yea,,Not Voting,,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Nay,Yea,Yea,Nay,Yea,Not Voting,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Yea,1794-01-08,0,,unknown,s1,,,,unknown
Nay,Nay,Yea,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Nay,Not Voting,Yea,Not Voting,Yea,Nay,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,,,Not Voting,Yea,Nay,Yea,Nay,Yea,Yea,Not Voting,Yea,Nay,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Not Voting,,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Nay,,Yea,,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Nay,Not Voting,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,1794-01-21,0,,unknown,hr1,,,,unknown
Yea,Yea,Nay,Nay,Nay,Not Voting,Nay,Yea,Not Voting,Yea,Yea,Nay,Nay,Nay,Nay,Not Voting,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,Nay,Yea,Not Voting,Not Voting,,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Yea,,Not Voting,,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Not Voting,Yea,Nay,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Nay,Nay,Not Voting,Nay,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Nay,Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Nay,Yea,Yea,Nay,Not Voting,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Yea,1794-01-21,0,,unknown,hr1,,,,unknown
Nay,Nay,Yea,Yea,Nay,Not Voting,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Not Voting,Nay,Yea,Yea,Nay,,,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Not Voting,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Yea,,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Yea,,Nay,,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Yea,1794-02-05,0,,unknown,,,,,unknown
Yea,Yea,Nay,Nay,Yea,Not Voting,Nay,Not Voting,Yea,Yea,Yea,Nay,Nay,Yea,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,,,Nay,Yea,Not Voting,Yea,Yea,Nay,Nay,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Not Voting,,Nay,Yea,Nay,Not Voting,Nay,Yea,Yea,Yea,Yea,,Yea,Not Voting,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Not Voting,Yea,Not Voting,Nay,Nay,Nay,Not Voting,Nay,Nay,,Nay,Yea,Not Voting,Yea,Yea,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Not Voting,Yea,Nay,Nay,Not Voting,Nay,Nay,Yea,Yea,1794-02-14,0,,unknown,,,,,unknown
Yea,Yea,Nay,Nay,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Not Voting,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Yea,,,Nay,Yea,Not Voting,Yea,Yea,Nay,Nay,Not Voting,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Not Voting,,Nay,Yea,Nay,Not Voting,Yea,Yea,Yea,Nay,Not Voting,,Yea,Yea,Not Voting,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Not Voting,Yea,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Not Voting,,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Nay,Yea,Yea,Not Voting,Nay,Yea,Nay,1794-02-21,0,,unknown,,,,,unknown
Nay,Not Voting,Nay,Nay,Yea,Not Voting,Nay,Yea,Nay,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Not Voting,,,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Not Voting,Nay,Nay,,Nay,Not Voting,Nay,Yea,Nay,Yea,Nay,Nay,Nay,,Not Voting,Yea,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,1794-03-04,0,,unknown,,,,,unknown
Yea,Not Voting,Yea,Yea,Nay,Not Voting,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,,,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Nay,,Yea,Not Voting,Yea,Yea,Yea,Nay,Yea,Yea,Yea,,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,1794-03-04,0,,unknown,,,,,unknown
Yea,Not Voting,Nay,Nay,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Not Voting,Yea,Yea,Yea,Nay,Not Voting,Not Voting,Yea,Yea,Yea,,,Nay,Yea,Not Voting,Yea,Yea,Nay,Nay,Not Voting,Yea,Yea,Yea,Yea,Nay,Not Voting,Yea,Nay,Yea,,Nay,Not Voting,Nay,Nay,Yea,Yea,Yea,Nay,Nay,,Yea,Not Voting,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Yea,Yea,Nay,Nay,Nay,Nay,Not Voting,Nay,Yea,,Not Voting,Nay,Not Voting,Yea,Yea,Not Voting,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Nay,1794-03-10,0,,unknown,hr14,,,,unknown
Nay,Nay,Yea,Nay,Nay,Not Voting,Yea,Not Voting,Nay,Nay,Nay,Not Voting,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,,,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Not Voting,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Yea,,Yea,Nay,Yea,Nay,Nay,Not Voting,Nay,Nay,Yea,,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Not Voting,Nay,Yea,Not Voting,Nay,Nay,Yea,Yea,Yea,Nay,Not Voting,Yea,Yea,,Nay,Not Voting,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Not Voting,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Yea,1794-04-08,0,,unknown,,,,,unknown
Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Not Voting,Not Voting,Nay,Yea,Nay,Not Voting,,Yea,Nay,Nay,Nay,Nay,Yea,Not Voting,Not Voting,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,,Yea,Yea,Not Voting,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Not Voting,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Yea,1794-04-15,0,,unknown,,,,,unknown
Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Not Voting,Yea,Yea,Yea,Nay,Not Voting,,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Not Voting,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,,Nay,Not Voting,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,,Yea,Yea,Not Voting,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Yea,1794-04-18,0,,unknown,,,,,unknown
Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Not Voting,Yea,Yea,Nay,Not Voting,,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Not Voting,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Nay,Nay,Nay,Not Voting,Yea,Yea,,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Yea,1794-04-21,0,,unknown,,,,,unknown
Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Not Voting,Not Voting,Yea,Yea,Nay,Not Voting,,Yea,Not Voting,Nay,Nay,Nay,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Nay,Not Voting,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Nay,Nay,Nay,Not Voting,Yea,Yea,,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Not Voting,Not Voting,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Yea,1794-04-24,0,,unknown,hr40,,,,unknown
Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Not Voting,Yea,Yea,Nay,Not Voting,,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Not Voting,Yea,Nay,Nay,Nay,Yea,Not Voting,Yea,Yea,Yea,,Yea,Yea,Yea,Not Voting,Nay,Nay,Not Voting,Not Voting,Yea,,Nay,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Yea,1794-04-25,0,,unknown,hr40,,,,unknown
Nay,Not Voting,Yea,Nay,Nay,Not Voting,Yea,Nay,Nay,Nay,Nay,Not Voting,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Not Voting,,Yea,Nay,Not Voting,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Not Voting,Nay,Not Voting,,Yea,Not Voting,Yea,Yea,Nay,Yea,Not Voting,Nay,Nay,,Not Voting,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,,Nay,Yea,Not Voting,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Not Voting,Not Voting,,Yea,Yea,Not Voting,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Not Voting,Nay,Yea,Not Voting,Nay,Nay,Not Voting,Nay,Nay,1794-05-07,0,,unknown,,,,,unknown
Nay,Not Voting,Yea,Yea,Nay,Not Voting,Yea,Nay,Nay,Nay,Nay,Not Voting,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Not Voting,Nay,Yea,Nay,Not Voting,,Yea,Nay,Not Voting,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,,Yea,Not Voting,Yea,Yea,Nay,Nay,Not Voting,Nay,Nay,,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,,Nay,Yea,Not Voting,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Not Voting,Nay,Yea,1794-05-08,0,,unknown,,,,,unknown
Nay,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Nay,Nay,Not Voting,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Nay,Yea,Nay,Not Voting,Yea,Yea,,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,,Nay,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Not Voting,Yea,Nay,Nay,Nay,Yea,Yea,Not Voting,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Not Voting,Yea,Not Voting,Yea,Yea,1794-05-08,0,,unknown,,,,,unknown
Nay,Not Voting,Yea,Nay,Nay,Not Voting,Yea,Nay,Nay,Nay,Nay,Not Voting,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Not Voting,Yea,Yea,Nay,Not Voting,,Yea,Nay,Not Voting,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Not Voting,Yea,Yea,Yea,Nay,Not Voting,,Yea,Not Voting,Yea,Yea,Nay,Nay,Not Voting,Nay,Yea,,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Nay,,Nay,Yea,Not Voting,Not Voting,Nay,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Not Voting,Nay,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Not Voting,Nay,Nay,Not Voting,Not Voting,Yea,1794-05-08,0,,unknown,,,,,unknown
