B000474,B000563,B000570,B000739,B000929,B001133,B001186,C000009,C000572,E000147,F000313,F000368,G000286,G000526,H000508,H000618,H000841,H000982,J000017,K000212,L000067,L000115,L000120,L000364,M000155,M000166,M000226,P000026,P000473,R000092,R000350,R000448,R000550,S000222,S000941,S001009,T000052,T000107,T000264,T000348,T000389,V000104,W000114,date,isAmendment,requires,result,title,billTitle,committee,officialTitle,sponsor
Yea,Nay,,Yea,Nay,Nay,Not Voting,Yea,,,Yea,Yea,,Yea,Yea,,,,,Not Voting,Nay,Yea,,Yea,Not Voting,Nay,Nay,Yea,Not Voting,Yea,Nay,Yea,Yea,,,Yea,,Nay,,,Yea,Yea,Not Voting,1796-03-22,0,,unknown,,,,,
Nay,Yea,,Nay,Yea,Not Voting,Yea,Nay,,,Nay,Not Voting,,Nay,Nay,,,,,Nay,Not Voting,Nay,,Nay,Nay,Yea,Yea,Nay,Not Voting,Nay,Not Voting,Nay,Not Voting,,,Nay,,Yea,,,Nay,Not Voting,Not Voting,1796-04-01,0,,unknown,,,,,
Yea,Nay,,Yea,Nay,Nay,Nay,Yea,,,Yea,Not Voting,,Yea,Not Voting,,,,,Yea,Nay,Yea,,Nay,Not Voting,Nay,Nay,Yea,Not Voting,Yea,Nay,Yea,Not Voting,,,Yea,,Nay,,,Yea,Not Voting,Not Voting,1796-04-07,0,,unknown,,,,,
Nay,Yea,,Yea,Nay,Yea,Not Voting,Yea,,,Yea,Yea,,Yea,Nay,,,,,Yea,Not Voting,Not Voting,,Yea,Nay,Yea,Nay,Yea,Not Voting,Yea,Yea,Nay,Nay,,,Yea,Not Voting,Nay,,,Yea,Not Voting,Nay,1796-04-12,0,,unknown,,,,,
Nay,Nay,,Nay,Nay,Not Voting,Not Voting,Nay,,,Nay,Nay,,Yea,Yea,,,,,Nay,Not Voting,Not Voting,,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Nay,,,Nay,Yea,Nay,,,Nay,Not Voting,,1796-04-12,0,,unknown,,,,,
Yea,Yea,,Nay,Yea,Yea,Not Voting,Nay,,,Nay,Yea,,Yea,Yea,,,,,Nay,Nay,Not Voting,,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,,,Nay,Yea,Nay,,,Nay,Not Voting,,1796-04-12,0,,unknown,,,,,
Nay,Nay,,Yea,Nay,Nay,Yea,Yea,,,Yea,Nay,,Nay,Yea,,,,,Yea,Yea,Yea,,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,,,Yea,Nay,Nay,,,Yea,Not Voting,,1796-04-13,0,,unknown,,,,,
Yea,Yea,,Nay,Yea,Yea,Nay,Nay,,,Nay,Yea,,Yea,Yea,,,,,Nay,Nay,Nay,,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,,,Nay,Yea,Nay,,,Nay,Not Voting,,1796-04-13,0,,unknown,,,,,
Not Voting,Yea,,Nay,Not Voting,Yea,Yea,Nay,,,Nay,Nay,,Nay,Nay,,,,,Nay,Not Voting,Nay,,Nay,Not Voting,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,Nay,Nay,,,Not Voting,Nay,Not Voting,,,Nay,Not Voting,,1796-04-19,0,,unknown,,,,,
Yea,Nay,,Nay,Nay,Nay,Nay,Yea,,,Yea,Yea,,Yea,Nay,,,,,Yea,Not Voting,Yea,,Yea,Nay,Nay,Nay,Not Voting,Nay,Yea,Nay,Yea,Yea,,,Not Voting,Nay,Nay,,,Yea,Not Voting,,1796-04-25,0,,unknown,,,,,
Yea,Nay,,Yea,Nay,Not Voting,Nay,Yea,,,Yea,Yea,,Yea,Nay,,,,,Yea,Not Voting,Yea,,Yea,Nay,Nay,Nay,Not Voting,Nay,Yea,Nay,Yea,Yea,,,Not Voting,Nay,Nay,,,Yea,Not Voting,,1796-04-26,0,,unknown,,,,,
Yea,Not Voting,,Nay,Nay,Nay,Not Voting,Nay,,,Not Voting,Yea,,Not Voting,Nay,,,,,Nay,Not Voting,Nay,,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Yea,Yea,,,Not Voting,Nay,Nay,,,Nay,Not Voting,,1796-05-03,0,,unknown,,,,,
Yea,Nay,,Nay,Nay,Yea,Yea,Nay,,,Nay,Yea,,Not Voting,Nay,,,,,Nay,Not Voting,Yea,,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Yea,Yea,Yea,,,Not Voting,Nay,Nay,,,Nay,Not Voting,,1796-05-03,0,,unknown,,,,,
Yea,Nay,,Nay,Nay,Not Voting,Yea,Nay,,,Nay,Yea,,Yea,Nay,,,,,Yea,Not Voting,Yea,,Nay,Nay,Yea,Nay,Not Voting,Nay,Nay,Yea,Yea,Yea,,,Not Voting,Nay,Nay,,,Nay,Not Voting,,1796-05-03,0,,unknown,,,,,
Nay,Yea,,Yea,Yea,Nay,Not Voting,Yea,,,Yea,Nay,,Yea,Yea,,,,,Yea,Not Voting,Nay,,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Nay,Nay,Nay,,,Not Voting,Yea,Yea,,,Yea,Not Voting,,1796-05-04,0,,unknown,,,,,
Yea,Nay,,Yea,Nay,Yea,Not Voting,Yea,,,Yea,Nay,,Yea,Nay,,,,,Nay,Not Voting,Nay,,Not Voting,Yea,Nay,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Yea,,,Nay,Nay,Nay,,,Nay,Not Voting,,1796-05-06,0,,unknown,,,,,
Yea,Yea,,Yea,Nay,Nay,Not Voting,Yea,,,Yea,Yea,,Yea,Yea,,,,,Yea,Not Voting,Yea,,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Nay,Yea,Yea,,,Yea,Yea,Nay,,,Yea,Not Voting,,1796-05-09,0,,unknown,,,,,
