A000319,B000100,B000110,B000293,B000634,B000769,C000025,C000133,C000277,C000651,C000657,C000963,C000988,C001008,D000298,D000347,E000044,E000109,F000011,F000084,F000200,F000333,F000370,G000104,G000141,G000232,G000288,G000323,G000491,H000031,H000192,H000259,H000265,H000446,H000477,H000645,J000128,J000140,J000210,J000257,K000065,K000098,K000129,K000161,K000216,K000233,K000296,L000004,L000241,L000393,M000200,M000369,M000397,M000499,M000547,M000583,M001028,M001129,N000040,N000059,N000062,N000139,N000169,O000140,O000153,P000014,P000217,P000290,P000317,P000372,P000403,P000420,R000059,R000118,R000347,S000337,S000348,S000363,S000415,S000530,S000551,S000577,S000589,S000644,S000730,S000796,S000872,S001081,S001094,T000160,T000330,T000353,U000013,W000012,W000097,W000104,W000164,W000203,W000521,W000561,W000669,date,isAmendment,requires,result,title,billTitle,committee,officialTitle,sponsor
Nay,Yea,,Nay,Yea,Not Voting,Yea,Nay,Not Voting,Yea,,Nay,Not Voting,Yea,Nay,Yea,Yea,Not Voting,Not Voting,Yea,Nay,Yea,Not Voting,Not Voting,Nay,Nay,,Yea,Nay,Yea,Not Voting,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Yea,Nay,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Not Voting,,Not Voting,Not Voting,Nay,Yea,Nay,Not Voting,Nay,Yea,Yea,Not Voting,Not Voting,Nay,Nay,Not Voting,Yea,Not Voting,Nay,Yea,Not Voting,Yea,Not Voting,Nay,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,Nay,Not Voting,Yea,Yea,Nay,Yea,Yea,Nay,Not Voting,Yea,Nay,Nay,Yea,Nay,Not Voting,Yea,Not Voting,Nay,,Nay,1921-01-13,0,,unknown,s3390,,,,
Nay,Yea,,Nay,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Yea,,Not Voting,Not Voting,Yea,Nay,Yea,Yea,Not Voting,Not Voting,Yea,Nay,Yea,Not Voting,Not Voting,Nay,Nay,,Not Voting,Nay,Yea,Not Voting,Nay,Nay,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Not Voting,Nay,Not Voting,Not Voting,,Not Voting,Not Voting,Nay,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Not Voting,Nay,Nay,Not Voting,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,Not Voting,Nay,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Yea,Yea,Nay,Yea,Yea,Nay,Not Voting,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Not Voting,Nay,,Not Voting,1921-01-13,0,,unknown,s3390,,,,
Nay,Not Voting,,Nay,Yea,Not Voting,Yea,Nay,Not Voting,Yea,,Nay,Not Voting,Yea,Nay,Yea,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Yea,Not Voting,Nay,Nay,Nay,,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Not Voting,,Not Voting,Yea,Nay,Yea,Nay,Yea,Nay,Not Voting,Yea,Not Voting,Not Voting,Nay,Nay,Not Voting,Yea,Not Voting,Nay,Yea,Nay,Yea,Not Voting,Not Voting,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Nay,Not Voting,Yea,Yea,Nay,Not Voting,Yea,Not Voting,Not Voting,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Not Voting,Nay,Yea,Not Voting,1921-01-14,0,,unknown,s3390,,,,
Nay,Not Voting,,Nay,Yea,Not Voting,Yea,Nay,Not Voting,Yea,,Nay,Not Voting,Yea,Nay,Yea,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Yea,Not Voting,Nay,Nay,Nay,,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Not Voting,,Not Voting,Yea,Nay,Yea,Nay,Yea,Nay,Not Voting,Yea,Not Voting,Not Voting,Nay,Nay,Not Voting,Yea,Not Voting,Nay,Yea,Nay,Yea,Yea,Not Voting,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,Nay,Not Voting,Yea,Yea,Nay,Yea,Yea,Not Voting,Not Voting,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Not Voting,Nay,Yea,Not Voting,1921-01-14,0,,unknown,s3390,,,,
Yea,Not Voting,,Yea,Nay,Not Voting,Nay,Yea,Not Voting,Nay,,Yea,Not Voting,Nay,Yea,Nay,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Nay,Not Voting,Yea,Yea,Yea,,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,Nay,Yea,Not Voting,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,Nay,Yea,Not Voting,Not Voting,,Not Voting,Nay,Yea,Nay,Yea,Nay,Yea,Not Voting,Nay,Not Voting,Not Voting,Yea,Yea,Not Voting,Nay,Not Voting,Yea,Nay,Yea,Nay,Not Voting,Not Voting,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Nay,Nay,Yea,Nay,Nay,Yea,Not Voting,Nay,Yea,Yea,Nay,Yea,Not Voting,Nay,Not Voting,Yea,Nay,Not Voting,1921-01-14,0,,unknown,s3390,,,,
Nay,Not Voting,,Nay,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,,Yea,Not Voting,Yea,Yea,Nay,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Yea,Not Voting,Nay,Yea,Yea,,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Not Voting,Not Voting,Yea,Nay,Yea,Not Voting,Nay,Not Voting,Not Voting,Nay,Yea,Not Voting,Nay,Yea,Not Voting,Not Voting,,Not Voting,Not Voting,Yea,Nay,Yea,Nay,Nay,Not Voting,Nay,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Not Voting,Nay,Yea,Not Voting,Not Voting,Yea,Yea,Nay,Yea,Not Voting,Yea,Nay,Yea,Nay,Nay,Yea,Not Voting,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Not Voting,Yea,Nay,Not Voting,1921-01-14,0,,unknown,sjres236,,,,
Nay,Not Voting,,Nay,Yea,Nay,Nay,Yea,Not Voting,Nay,,Yea,Not Voting,Nay,Yea,Nay,Not Voting,Not Voting,Not Voting,Nay,Nay,Yea,Nay,Nay,Yea,Not Voting,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Not Voting,Nay,Yea,Not Voting,Not Voting,Yea,Nay,Not Voting,Yea,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Nay,,Not Voting,Nay,Yea,Not Voting,Yea,Nay,Nay,Nay,Nay,Not Voting,Yea,Yea,Yea,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Yea,Nay,Yea,Not Voting,Not Voting,Yea,Not Voting,Nay,Yea,Nay,Nay,Nay,Not Voting,Nay,Nay,Yea,Not Voting,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Not Voting,Yea,Nay,Not Voting,1921-01-17,0,,unknown,sjres236,,,,
Nay,Not Voting,,Nay,Yea,Nay,Nay,Yea,Not Voting,Nay,,Not Voting,Not Voting,Nay,Yea,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Not Voting,Nay,Nay,Yea,Not Voting,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Not Voting,Yea,Nay,Yea,Nay,Nay,Yea,Not Voting,Not Voting,,Not Voting,Not Voting,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Not Voting,Yea,Nay,Yea,Yea,Not Voting,Nay,Nay,Nay,Yea,Nay,Not Voting,Nay,Yea,Nay,Yea,Nay,Not Voting,Yea,Not Voting,Nay,Yea,Yea,Yea,Nay,Yea,Not Voting,Nay,Yea,Not Voting,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Not Voting,Yea,Nay,Not Voting,1921-01-17,0,,unknown,sjres236,,,,
Yea,Not Voting,,Yea,Nay,Nay,Nay,Nay,Not Voting,Nay,,Yea,Not Voting,Nay,Yea,Nay,Not Voting,Not Voting,Nay,Not Voting,Yea,Not Voting,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,Yea,Nay,Nay,Not Voting,Nay,Nay,Yea,Not Voting,Nay,Not Voting,Not Voting,Nay,,Not Voting,Not Voting,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Not Voting,Yea,Nay,Yea,Yea,Nay,Nay,Not Voting,Nay,Yea,Nay,Not Voting,Yea,Not Voting,Yea,Yea,Nay,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Nay,Nay,Yea,Not Voting,Nay,Yea,Not Voting,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Not Voting,Yea,Nay,Not Voting,1921-01-18,0,,unknown,sres424,,,,
Nay,Not Voting,,Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,,Nay,Not Voting,Yea,Nay,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Yea,Nay,Yea,Yea,Not Voting,Yea,Yea,Nay,Not Voting,Yea,Yea,Not Voting,Yea,,Not Voting,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,Yea,Nay,Nay,Yea,Yea,Not Voting,Yea,Nay,Yea,Not Voting,Nay,Nay,Nay,Nay,Yea,Not Voting,Nay,Not Voting,Nay,Not Voting,Nay,Not Voting,Yea,Nay,Not Voting,Yea,Nay,Not Voting,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Not Voting,Nay,Yea,Not Voting,1921-01-18,0,,unknown,sres424,,,,
Yea,Not Voting,,Yea,Nay,Nay,Nay,Nay,Not Voting,Nay,,Yea,Not Voting,Nay,Yea,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Yea,Yea,Yea,Nay,Not Voting,Nay,Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Nay,Yea,Nay,Nay,Not Voting,Nay,Nay,Yea,Yea,Nay,Nay,Not Voting,Nay,,Not Voting,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Not Voting,Yea,Nay,Yea,Not Voting,Nay,Nay,Yea,Nay,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Nay,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Nay,Yea,Not Voting,Nay,Yea,Not Voting,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Not Voting,Yea,Nay,Not Voting,1921-01-18,0,,unknown,,,,,
Nay,Nay,,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Nay,,Not Voting,Not Voting,Nay,Yea,Nay,Nay,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Not Voting,Not Voting,Nay,Nay,Not Voting,Yea,Nay,Not Voting,Yea,Nay,Yea,Not Voting,Not Voting,,Nay,Nay,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Yea,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,Not Voting,Nay,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Yea,Not Voting,Nay,Nay,Not Voting,Nay,Yea,Yea,Nay,Yea,Not Voting,Nay,Not Voting,Not Voting,Nay,Yea,1921-01-19,0,,unknown,hr15130,,,,
Nay,Nay,,Not Voting,Nay,Yea,Nay,Nay,Not Voting,Nay,,Nay,Not Voting,Nay,Yea,Not Voting,Nay,Nay,Not Voting,Not Voting,Yea,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,Nay,Not Voting,Not Voting,Yea,Nay,Nay,Not Voting,Yea,Not Voting,Nay,Yea,Not Voting,Nay,Nay,Not Voting,Not Voting,Not Voting,Nay,Nay,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Nay,Yea,Yea,Nay,Nay,Not Voting,Yea,Not Voting,Nay,Nay,Not Voting,1921-01-22,0,,unknown,hr5726,,,,
Yea,Nay,,Nay,Yea,Nay,Not Voting,Yea,Not Voting,Nay,,Yea,Not Voting,Yea,Yea,Nay,Nay,Nay,Not Voting,Nay,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Nay,,Not Voting,Not Voting,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Not Voting,Yea,Nay,Yea,Yea,Nay,Not Voting,Yea,Nay,Nay,Yea,Not Voting,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Not Voting,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Not Voting,Nay,Yea,Not Voting,1921-01-24,0,,unknown,s3944,,,,
Nay,Nay,,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Nay,,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Yea,Nay,Not Voting,Not Voting,Not Voting,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Not Voting,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Nay,,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Yea,Nay,Not Voting,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Not Voting,1921-01-24,0,,unknown,s3944,,,,
Nay,Yea,,Yea,Nay,Yea,Not Voting,Nay,Not Voting,Yea,,Nay,Not Voting,Nay,Yea,Nay,Yea,Yea,Not Voting,Yea,Nay,Yea,Not Voting,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Yea,Not Voting,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Yea,,Not Voting,Not Voting,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Not Voting,Nay,Nay,Nay,Nay,Yea,Not Voting,Nay,Yea,Not Voting,Nay,Not Voting,Nay,Yea,Nay,Nay,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Not Voting,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Not Voting,Not Voting,Yea,Not Voting,1921-01-24,0,,unknown,s3944,,,,
Nay,Yea,,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Nay,,Nay,Not Voting,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Not Voting,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Not Voting,,Not Voting,Not Voting,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Not Voting,Nay,Nay,Nay,Nay,Yea,Not Voting,Nay,Yea,Nay,Yea,Not Voting,Nay,Yea,Nay,Nay,Nay,Nay,Not Voting,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Not Voting,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Not Voting,Not Voting,Yea,Not Voting,1921-01-24,0,,unknown,s3944,,,,
